site,lat,lon,area,YYYY,MONTH,SSTmonthly
Baiyu,25.0608333,121.088611,Taoyuan,2005,7,28.1499993707985
Baiyu,25.0608333,121.088611,Taoyuan,2006,5,26.3899994101375
Baiyu,25.0608333,121.088611,Taoyuan,2011,12,20.0599995516241
Baiyu,25.0608333,121.088611,Taoyuan,2011,10,24.8999994434416
Baiyu,25.0608333,121.088611,Taoyuan,2009,1,18.2499995920807
Baiyu,25.0608333,121.088611,Taoyuan,2016,9,27.7999993786216
Baiyu,25.0608333,121.088611,Taoyuan,2008,4,23.5799994729459
Baiyu,25.0608333,121.088611,Taoyuan,2000,7,28.6299993600696
Baiyu,25.0608333,121.088611,Taoyuan,2005,10,26.4499994087964
Baiyu,25.0608333,121.088611,Taoyuan,2002,12,21.5399995185435
Baiyu,25.0608333,121.088611,Taoyuan,2010,9,28.7599993571639
Baiyu,25.0608333,121.088611,Taoyuan,2010,5,25.2699994351715
Baiyu,25.0608333,121.088611,Taoyuan,2007,5,26.1599994152784
Baiyu,25.0608333,121.088611,Taoyuan,2007,7,29.4099993426353
Baiyu,25.0608333,121.088611,Taoyuan,2013,1,18.069999596104
Baiyu,25.0608333,121.088611,Taoyuan,2020,7,29.8499993328005
Baiyu,25.0608333,121.088611,Taoyuan,2020,9,28.96999935247
Baiyu,25.0608333,121.088611,Taoyuan,2017,11,23.5499994736165
Baiyu,25.0608333,121.088611,Taoyuan,2017,9,29.0699993502349
Baiyu,25.0608333,121.088611,Taoyuan,2009,6,27.4699993859977
Baiyu,25.0608333,121.088611,Taoyuan,2001,7,28.5499993618578
Baiyu,25.0608333,121.088611,Taoyuan,2006,10,26.0699994172901
Baiyu,25.0608333,121.088611,Taoyuan,2011,7,28.409999364987
Baiyu,25.0608333,121.088611,Taoyuan,2011,9,27.4099993873388
Baiyu,25.0608333,121.088611,Taoyuan,2000,12,21.0499995294958
Baiyu,25.0608333,121.088611,Taoyuan,2008,9,27.9899993743748
Baiyu,25.0608333,121.088611,Taoyuan,2003,6,26.2399994134903
Baiyu,25.0608333,121.088611,Taoyuan,2013,4,22.9199994876981
Baiyu,25.0608333,121.088611,Taoyuan,2013,6,28.119999371469
Baiyu,25.0608333,121.088611,Taoyuan,2000,6,27.4299993868917
Baiyu,25.0608333,121.088611,Taoyuan,2013,8,29.3899993430823
Baiyu,25.0608333,121.088611,Taoyuan,2000,4,23.3899994771928
Baiyu,25.0608333,121.088611,Taoyuan,2010,6,26.5699994061142
Baiyu,25.0608333,121.088611,Taoyuan,2020,12,20.5599995404482
Baiyu,25.0608333,121.088611,Taoyuan,2020,6,28.6599993593991
Baiyu,25.0608333,121.088611,Taoyuan,2004,12,21.0199995301664
Baiyu,25.0608333,121.088611,Taoyuan,2018,3,21.5399995185435
Baiyu,25.0608333,121.088611,Taoyuan,2001,12,20.7199995368719
Baiyu,25.0608333,121.088611,Taoyuan,2009,9,28.2299993690103
Baiyu,25.0608333,121.088611,Taoyuan,2004,6,27.5299993846566
Baiyu,25.0608333,121.088611,Taoyuan,2006,7,28.7999993562698
Baiyu,25.0608333,121.088611,Taoyuan,2014,10,25.1299994383007
Baiyu,25.0608333,121.088611,Taoyuan,2006,9,27.6499993819743
Baiyu,25.0608333,121.088611,Taoyuan,2001,4,23.2999994792044
Baiyu,25.0608333,121.088611,Taoyuan,2019,9,27.9699993748218
Baiyu,25.0608333,121.088611,Taoyuan,2003,11,24.099999461323
Baiyu,25.0608333,121.088611,Taoyuan,2016,5,27.0699993949384
Baiyu,25.0608333,121.088611,Taoyuan,2008,8,28.6399993598461
Baiyu,25.0608333,121.088611,Taoyuan,2006,1,17.8999995999038
Baiyu,25.0608333,121.088611,Taoyuan,2010,7,28.7799993567169
Baiyu,25.0608333,121.088611,Taoyuan,2015,12,21.1599995270371
Baiyu,25.0608333,121.088611,Taoyuan,2018,10,25.1399994380772
Baiyu,25.0608333,121.088611,Taoyuan,2018,8,29.5599993392825
Baiyu,25.0608333,121.088611,Taoyuan,2002,6,27.4199993871152
Baiyu,25.0608333,121.088611,Taoyuan,2015,10,25.8499994222075
Baiyu,25.0608333,121.088611,Taoyuan,2012,12,21.1099995281547
Baiyu,25.0608333,121.088611,Taoyuan,2002,4,24.1999994590879
Baiyu,25.0608333,121.088611,Taoyuan,2010,1,18.379999589175
Baiyu,25.0608333,121.088611,Taoyuan,2020,3,22.4599994979799
Baiyu,25.0608333,121.088611,Taoyuan,2007,1,18.9499995764345
Baiyu,25.0608333,121.088611,Taoyuan,2001,11,22.9899994861335
Baiyu,25.0608333,121.088611,Taoyuan,2019,4,24.6099994499236
Baiyu,25.0608333,121.088611,Taoyuan,2014,9,29.0499993506819
Baiyu,25.0608333,121.088611,Taoyuan,2006,8,28.7999993562698
Baiyu,25.0608333,121.088611,Taoyuan,2011,5,25.0399994403124
Baiyu,25.0608333,121.088611,Taoyuan,2019,8,29.0999993495643
Baiyu,25.0608333,121.088611,Taoyuan,2016,4,22.5899994950742
Baiyu,25.0608333,121.088611,Taoyuan,2014,1,17.1299996171147
Baiyu,25.0608333,121.088611,Taoyuan,2000,8,28.5199993625283
Baiyu,25.0608333,121.088611,Taoyuan,2000,10,26.3399994112551
Baiyu,25.0608333,121.088611,Taoyuan,2018,11,23.8999994657934
Baiyu,25.0608333,121.088611,Taoyuan,2005,11,24.3099994566292
Baiyu,25.0608333,121.088611,Taoyuan,2008,1,18.4199995882809
